=== PAGE 1 ===
# UN Comtrade (comtradeapi.un.org public preview API, annual HS data) rows retrieved 2026-09-24, reshaped to one line per record.
# Somalia (706) does not report; rows are partner (mirror) data: other countries' reported exports to Somalia and Gulf imports from Somalia and from the World.
# Filter: partner2Code 0, customsCode C00, motCode 0 (all customs regimes and transport modes). Values in current USD; net weight in kg.
# Format: Reporter (code) | Flow | Partner | HS code | Year | Trade value USD | Net weight kg | HS version
Saudi Arabia (682) | Re-export | Somalia | HS 0402 | 2024 | 280139.993 | 84000.0 | H6
Turkiye (792) | Export | Somalia | HS 0402 | 2024 | 1891.0 | 1390.0 | H6
Uganda (800) | Export | Somalia | HS 0402 | 2024 | 93680.92 | 21052.0 | H6
United Kingdom (826) | Export | Somalia | HS 0402 | 2024 | 221852.304 | 66918.0 | H6
Yemen (887) | Export | Somalia | HS 0402 | 2024 | 68221.8 | 71377.5 | H5
Djibouti (262) | Export | Somalia | HS 1006 | 2021 | 221888.135 | 175122.0 | H3
India (699) | Export | Somalia | HS 1006 | 2021 | 142734765.919 | 406718340.0 | H5
Kenya (404) | Export | Somalia | HS 1006 | 2021 | 15.208 | 5.0 | H5
Netherlands (528) | Export | Somalia | HS 1006 | 2021 | 5971.656 | 2935.0 | H5
Oman (512) | Export | Somalia | HS 1006 | 2021 | 294499.349 | 336939.0 | H5
Oman (512) | Re-export | Somalia | HS 1006 | 2021 | 294499.349 | 336939.0 | H5
Pakistan (586) | Export | Somalia | HS 1006 | 2021 | 48018924.935 | 81913000.0 | H5
Saudi Arabia (682) | Export | Somalia | HS 1006 | 2021 | 30522.666 | 29000.0 | H5
Saudi Arabia (682) | Re-export | Somalia | HS 1006 | 2021 | 9338.666 | 25000.0 | H5
South Africa (710) | Export | Somalia | HS 1006 | 2021 | 45294.984 | 107400.0 | H5
Turkiye (792) | Export | Somalia | HS 1006 | 2021 | 294411.0 | 383087.0 | H5
USA (842) | Export | Somalia | HS 1006 | 2021 | 39800.0 | 33706.0 | H5
United Arab Emirates (784) | Export | Somalia | HS 1006 | 2021 | 4399232.139 | 6582747.0 | H5
United Arab Emirates (784) | Re-export | Somalia | HS 1006 | 2021 | 4399232.139 | 6582747.0 | H5
China (156) | Export | Somalia | HS 1006 | 2022 | 606662.0 | 810000.0 | H6
Djibouti (262) | Export | Somalia | HS 1006 | 2022 | 2372.99 | 10286.0 | H3
India (699) | Export | Somalia | HS 1006 | 2022 | 181927670.653 | 507291955.0 | H6
Netherlands (528) | Export | Somalia | HS 1006 | 2022 | 266.421 | 200.0 | H6
Oman (512) | Export | Somalia | HS 1006 | 2022 | 984743.822 | 1957627.0 | H6
Oman (512) | Re-export | Somalia | HS 1006 | 2022 | 978462.937 | 1945527.0 | H6
Pakistan (586) | Export | Somalia | HS 1006 | 2022 | 53231615.729 | 98388000.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 1006 | 2022 | 17052.266 | 25860.0 | H6
