=== PAGE 1 ===
# UN Comtrade (comtradeapi.un.org public preview API, annual HS data) rows retrieved 2026-09-24, reshaped to one line per record.
# Somalia (706) does not report; rows are partner (mirror) data: other countries' reported exports to Somalia and Gulf imports from Somalia and from the World.
# Filter: partner2Code 0, customsCode C00, motCode 0 (all customs regimes and transport modes). Values in current USD; net weight in kg.
# Format: Reporter (code) | Flow | Partner | HS code | Year | Trade value USD | Net weight kg | HS version
United Arab Emirates (784) | Export | Somalia | HS 1511 | 2023 | 54946786.626 | 46361560.0 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1511 | 2023 | 3080702.572 | 2839860.0 | H6
Indonesia (360) | Export | Somalia | HS 1511 | 2024 | 41643380.06 | 42934795.0 | H6
Kenya (404) | Export | Somalia | HS 1511 | 2024 | 158871.478 | 122491.0 | H6
Malaysia (458) | Export | Somalia | HS 1511 | 2024 | 56468302.346 | 52570666.0 | H6
Oman (512) | Export | Somalia | HS 1511 | 2024 | 13018267.86 | 11000996.0 | H6
Oman (512) | Re-export | Somalia | HS 1511 | 2024 | 650473.341 | 572256.0 | H6
United Kingdom (826) | Export | Somalia | HS 1511 | 2024 | 47085.637 | 11728.0 | H6
Djibouti (262) | Export | Somalia | HS 1512 | 2021 | 38553.728 | 34690.0 | H3
Egypt (818) | Export | Somalia | HS 1512 | 2021 | 27495.0 | 20976.012 | H4
Kenya (404) | Export | Somalia | HS 1512 | 2021 | 394.025 | 120.0 | H5
Netherlands (528) | Export | Somalia | HS 1512 | 2021 | 18175.17 | 9257.0 | H5
Oman (512) | Export | Somalia | HS 1512 | 2021 | 436798.439 | 367138.0 | H5
Oman (512) | Re-export | Somalia | HS 1512 | 2021 | 294143.042 | 252738.0 | H5
Spain (724) | Export | Somalia | HS 1512 | 2021 | 128340.038 | 68773.4 | H5
Turkiye (792) | Export | Somalia | HS 1512 | 2021 | 12182916.0 | 7860505.0 | H5
United Arab Emirates (784) | Export | Somalia | HS 1512 | 2021 | 61786.438 | 32448.0 | H5
United Arab Emirates (784) | Re-export | Somalia | HS 1512 | 2021 | 51191.476 | 23648.0 | H5
Djibouti (262) | Export | Somalia | HS 1512 | 2022 | 1302048.822 | 344438.0 | H3
India (699) | Export | Somalia | HS 1512 | 2022 | 17845.688 | 9118.0 | H6
Italy (380) | Export | Somalia | HS 1512 | 2022 | 7858.902 | 1700.0 | H6
Netherlands (528) | Export | Somalia | HS 1512 | 2022 | 17315.279 | 8184.0 | H6
Oman (512) | Export | Somalia | HS 1512 | 2022 | 177641.092 | 128869.0 | H6
Oman (512) | Re-export | Somalia | HS 1512 | 2022 | 177641.092 | 128869.0 | H6
Spain (724) | Export | Somalia | HS 1512 | 2022 | 247374.708 | 120288.0 | H6
Turkiye (792) | Export | Somalia | HS 1512 | 2022 | 14144054.0 | 7812317.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1512 | 2022 | 69569.967 | 71282.25 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1512 | 2022 | 44857.973 | 61148.0 | H6
Djibouti (262) | Export | Somalia | HS 1512 | 2023 | 391869.631 | 158478.7 | H3
India (699) | Export | Somalia | HS 1512 | 2023 | 17284.341 | 9118.0 | H6
Netherlands (528) | Export | Somalia | HS 1512 | 2023 | 8850.184 | 5256.0 | H6
Oman (512) | Export | Somalia | HS 1512 | 2023 | 710762.027 | 512937.0 | H6
Oman (512) | Re-export | Somalia | HS 1512 | 2023 | 685776.332 | 499157.0 | H6
Spain (724) | Export | Somalia | HS 1512 | 2023 | 168803.224 | 111686.1 | H6
Turkiye (792) | Export | Somalia | HS 1512 | 2023 | 6282467.0 | 4803280.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1512 | 2023 | 116465.778 | 64543.6 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1512 | 2023 | 92852.164 | 50510.0 | H6
Egypt (818) | Export | Somalia | HS 1512 | 2024 | 314616.45 | 273900.209 | H6
Italy (380) | Export | Somalia | HS 1512 | 2024 | 8182.796 | 5250.0 | H6
Netherlands (528) | Export | Somalia | HS 1512 | 2024 | 11151.766 | 6268.0 | H6
Oman (512) | Export | Somalia | HS 1512 | 2024 | 616202.86 | 651929.0 | H6
Oman (512) | Re-export | Somalia | HS 1512 | 2024 | 615357.606 | 651429.0 | H6
South Africa (710) | Export | Somalia | HS 1512 | 2024 | 5958.483 | 2665.0 | H6
Spain (724) | Export | Somalia | HS 1512 | 2024 | 151442.175 | 113699.0 | H6
Turkiye (792) | Export | Somalia | HS 1512 | 2024 | 7736610.0 | 6031666.0 | H6
India (699) | Export | Somalia | HS 1513 | 2021 | 175185.372 | 51309.0 | H5
Kenya (404) | Export | Somalia | HS 1513 | 2021 | 12962.285 | 13740.0 | H5
Malaysia (458) | Export | Somalia | HS 1513 | 2021 | 4107846.122 | 1625558.0 | H5
Oman (512) | Export | Somalia | HS 1513 | 2021 | 125243.173 | 65805.0 | H5
Oman (512) | Re-export | Somalia | HS 1513 | 2021 | 125243.173 | 65805.0 | H5
United Arab Emirates (784) | Export | Somalia | HS 1513 | 2021 | 172663.086 | 118813.0 | H5
United Arab Emirates (784) | Re-export | Somalia | HS 1513 | 2021 | 172663.086 | 118813.0 | H5
India (699) | Export | Somalia | HS 1513 | 2022 | 238125.911 | 69311.0 | H6
Malaysia (458) | Export | Somalia | HS 1513 | 2022 | 5770171.318 | 1977533.0 | H6
Oman (512) | Export | Somalia | HS 1513 | 2022 | 38663.199 | 14586.0 | H6
Oman (512) | Re-export | Somalia | HS 1513 | 2022 | 38663.199 | 14586.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 1513 | 2022 | 399097.59 | 240090.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1513 | 2022 | 75373.839 | 36085.0 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1513 | 2022 | 75373.839 | 36085.0 | H6
India (699) | Export | Somalia | HS 1513 | 2023 | 446382.2 | 132694.0 | H6
Kenya (404) | Export | Somalia | HS 1513 | 2023 | 852.308 | 2000.0 | H6
Malaysia (458) | Export | Somalia | HS 1513 | 2023 | 3651360.095 | 1533860.0 | H6
Oman (512) | Export | Somalia | HS 1513 | 2023 | 292434.33 | 175829.0 | H6
Oman (512) | Re-export | Somalia | HS 1513 | 2023 | 292434.33 | 175829.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1513 | 2023 | 41591.054 | 33253.8 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1513 | 2023 | 41591.054 | 33253.8 | H6
India (699) | Export | Somalia | HS 1513 | 2024 | 735832.322 | 244162.0 | H6
Indonesia (360) | Export | Somalia | HS 1513 | 2024 | 150.0 | 40.0 | H6
Malaysia (458) | Export | Somalia | HS 1513 | 2024 | 2679847.241 | 1181221.5 | H6
Oman (512) | Export | Somalia | HS 1513 | 2024 | 215146.944 | 86927.0 | H6
Oman (512) | Re-export | Somalia | HS 1513 | 2024 | 215146.944 | 86927.0 | H6
Netherlands (528) | Export | Somalia | HS 1514 | 2021 | 2426.983 | 1400.0 | H5
Netherlands (528) | Export | Somalia | HS 1514 | 2022 | 7096.495 | 2760.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 1514 | 2022 | 355871.991 | 184800.0 | H6
Netherlands (528) | Export | Somalia | HS 1514 | 2023 | 3616.844 | 2000.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1514 | 2023 | 326.753 | 120.0 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1514 | 2023 | 326.753 | 120.0 | H6
India (699) | Export | Somalia | HS 1514 | 2024 | 9.413 | 4.0 | H6
Netherlands (528) | Export | Somalia | HS 1514 | 2024 | 6125.191 | 3700.0 | H6
Netherlands (528) | Export | Somalia | HS 1515 | 2021 | 7775.335 | 2208.0 | H5
Oman (512) | Export | Somalia | HS 1515 | 2021 | 241693.108 | 171426.0 | H5
Oman (512) | Re-export | Somalia | HS 1515 | 2021 | 106166.45 | 73317.0 | H5
USA (842) | Export | Somalia | HS 1515 | 2021 | 1128305.0 | 480013.0 | H5
United Arab Emirates (784) | Export | Somalia | HS 1515 | 2021 | 292077.46 | 205855.0 | H5
United Arab Emirates (784) | Re-export | Somalia | HS 1515 | 2021 | 292044.523 | 205847.0 | H5
Italy (380) | Export | Somalia | HS 1515 | 2022 | 1807.031 | 30.0 | H6
Kenya (404) | Export | Somalia | HS 1515 | 2022 | 662.583 | 303.0 | H6
Netherlands (528) | Export | Somalia | HS 1515 | 2022 | 927.736 | 468.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1515 | 2022 | 26199.373 | 18830.0 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1515 | 2022 | 13649.721 | 6350.0 | H6
Netherlands (528) | Export | Somalia | HS 1515 | 2023 | 3387.615 | 983.0 | H6
Spain (724) | Export | Somalia | HS 1515 | 2023 | 22562.778 | 14874.0 | H6
Turkiye (792) | Export | Somalia | HS 1515 | 2023 | 22205.0 | 12469.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1515 | 2023 | 37685.499 | 21023.0 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1515 | 2023 | 5854.323 | 6273.0 | H6
India (699) | Export | Somalia | HS 1515 | 2024 | 526.721 | 46.0 | H6
Netherlands (528) | Export | Somalia | HS 1515 | 2024 | 3338.061 | 894.0 | H6
Pakistan (586) | Export | Somalia | HS 1515 | 2024 | 8366.039 | 466.0 | H6
Spain (724) | Export | Somalia | HS 1515 | 2024 | 3773.922 | 1406.07 | H6
USA (842) | Export | Somalia | HS 1515 | 2024 | 480937.0 | 334915.0 | H6
Oman (512) | Export | Somalia | HS 1516 | 2021 | 27586.476 | 37641.0 | H5
Oman (512) | Re-export | Somalia | HS 1516 | 2021 | 27586.476 | 37641.0 | H5
Turkiye (792) | Export | Somalia | HS 1516 | 2021 | 2343.0 | 495.0 | H5
United Arab Emirates (784) | Export | Somalia | HS 1516 | 2021 | 20649.65 | 5170.0 | H5
United Arab Emirates (784) | Re-export | Somalia | HS 1516 | 2021 | 703.782 | 270.0 | H5
Malaysia (458) | Export | Somalia | HS 1516 | 2022 | 75919.836 | 24659.0 | H6
Netherlands (528) | Export | Somalia | HS 1516 | 2022 | 1820.721 | 480.0 | H6
Turkiye (792) | Export | Somalia | HS 1516 | 2022 | 1913.0 | 300.0 | H6
USA (842) | Export | Somalia | HS 1516 | 2022 | 4766243.0 | 1840000.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1516 | 2022 | 100.226 | 60.0 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1516 | 2022 | 100.226 | 60.0 | H6
India (699) | Export | Somalia | HS 1516 | 2023 | 32.106 | 40.0 | H6
Kenya (404) | Export | Somalia | HS 1516 | 2023 | 1546.663 | 828.0 | H6
Malaysia (458) | Export | Somalia | HS 1516 | 2023 | 18680.121 | 24659.0 | H6
Netherlands (528) | Export | Somalia | HS 1516 | 2023 | 1754.899 | 532.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1516 | 2023 | 192016.332 | 179550.0 | H6
India (699) | Export | Somalia | HS 1516 | 2024 | 111.194 | 63.0 | H6
Indonesia (360) | Export | Somalia | HS 1516 | 2024 | 62926.38 | 48240.0 | H6
Malaysia (458) | Export | Somalia | HS 1516 | 2024 | 204018.941 | 103109.7 | H6
Netherlands (528) | Export | Somalia | HS 1516 | 2024 | 1846.541 | 500.0 | H6
Oman (512) | Export | Somalia | HS 1516 | 2024 | 180910.273 | 175811.0 | H6
Oman (512) | Re-export | Somalia | HS 1516 | 2024 | 180910.273 | 175811.0 | H6
Turkiye (792) | Export | Somalia | HS 1516 | 2024 | 3224.0 | 948.0 | H6
Egypt (818) | Export | Somalia | HS 1517 | 2021 | 40924.8 | 27132.896 | H4
India (699) | Export | Somalia | HS 1517 | 2021 | 26018.044 | 11850.0 | H5
Kenya (404) | Export | Somalia | HS 1517 | 2021 | 104304.218 | 38465.0 | H5
Turkiye (792) | Export | Somalia | HS 1517 | 2021 | 42701.0 | 32311.0 | H5
United Arab Emirates (784) | Export | Somalia | HS 1517 | 2021 | 9604.139 | 6221.0 | H5
United Arab Emirates (784) | Re-export | Somalia | HS 1517 | 2021 | 8566.698 | 5681.0 | H5
Egypt (818) | Export | Somalia | HS 1517 | 2022 | 65133.0 | 33588.948 | H6
Italy (380) | Export | Somalia | HS 1517 | 2022 | 15795.729 | 7904.0 | H6
Kenya (404) | Export | Somalia | HS 1517 | 2022 | 130142.053 | 42946.35 | H6
Netherlands (528) | Export | Somalia | HS 1517 | 2022 | 52656.644 | 22399.0 | H6
Turkiye (792) | Export | Somalia | HS 1517 | 2022 | 10513.0 | 7633.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1517 | 2022 | 38802.986 | 14693.25 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1517 | 2022 | 36855.111 | 14237.0 | H6
China (156) | Export | Somalia | HS 1517 | 2023 | 425.0 | 217.0 | H6
Egypt (818) | Export | Somalia | HS 1517 | 2023 | 46924.8 | 23708.303 | H6
Italy (380) | Export | Somalia | HS 1517 | 2023 | 18008.529 | 6716.0 | H6
Kenya (404) | Export | Somalia | HS 1517 | 2023 | 122368.654 | 39699.0 | H6
Netherlands (528) | Export | Somalia | HS 1517 | 2023 | 41197.416 | 14738.0 | H6
Spain (724) | Export | Somalia | HS 1517 | 2023 | 54106.465 | 14767.0 | H6
Turkiye (792) | Export | Somalia | HS 1517 | 2023 | 5968.0 | 3499.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1517 | 2023 | 61161.953 | 28644.3 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1517 | 2023 | 53038.811 | 25342.7 | H6
Egypt (818) | Export | Somalia | HS 1517 | 2024 | 39592.8 | 21401.103 | H6
Kenya (404) | Export | Somalia | HS 1517 | 2024 | 114841.861 | 39264.0 | H6
Netherlands (528) | Export | Somalia | HS 1517 | 2024 | 55672.239 | 21185.0 | H6
Spain (724) | Export | Somalia | HS 1517 | 2024 | 103740.264 | 30141.0 | H6
Turkiye (792) | Export | Somalia | HS 1517 | 2024 | 23318.0 | 6990.0 | H6
Bahrain (48) | Export | Somalia | HS 1701 | 2021 | 61933.324 | 272400.0 | H5
Bahrain (48) | Re-export | Somalia | HS 1701 | 2021 | 61933.324 | 272400.0 | H5
Brazil (76) | Export | Somalia | HS 1701 | 2021 | 57142773.0 | 174125992.0 | H5
China (156) | Export | Somalia | HS 1701 | 2021 | 459858.0 | 445360.0 | H5
Djibouti (262) | Export | Somalia | HS 1701 | 2021 | 457184.482 | 468635.0 | H3
Egypt (818) | Export | Somalia | HS 1701 | 2021 | 1881220.0 | 3534642.02 | H4
India (699) | Export | Somalia | HS 1701 | 2021 | 283878063.055 | 676687000.0 | H5
Kenya (404) | Export | Somalia | HS 1701 | 2021 | 4654.067 | 518.0 | H5
Kenya (404) | Re-export | Somalia | HS 1701 | 2021 | 4374.211 | 488.0 | H5
Netherlands (528) | Export | Somalia | HS 1701 | 2021 | 9961.039 | 12534.0 | H5
Saudi Arabia (682) | Export | Somalia | HS 1701 | 2021 | 498897.588 | 652900.0 | H5
Saudi Arabia (682) | Re-export | Somalia | HS 1701 | 2021 | 826.667 | 8000.0 | H5
South Africa (710) | Export | Somalia | HS 1701 | 2021 | 22.938 | 1.33 | H5
Turkiye (792) | Export | Somalia | HS 1701 | 2021 | 678.0 | 980.0 | H5
United Arab Emirates (784) | Export | Somalia | HS 1701 | 2021 | 634923.696 | 1296827.3 | H5
United Arab Emirates (784) | Re-export | Somalia | HS 1701 | 2021 | 602390.722 | 1216550.0 | H5
United Kingdom (826) | Export | Somalia | HS 1701 | 2021 | 39250.964 | 2839.0 | H5
Bahrain (48) | Export | Somalia | HS 1701 | 2022 | 53856.915 | 319020.0 | H6
Bahrain (48) | Re-export | Somalia | HS 1701 | 2022 | 53856.915 | 319020.0 | H6
Brazil (76) | Export | Somalia | HS 1701 | 2022 | 35864243.0 | 98410938.0 | H6
China (156) | Export | Somalia | HS 1701 | 2022 | 306431.0 | 282240.0 | H6
Egypt (818) | Export | Somalia | HS 1701 | 2022 | 104490.0 | 175810.409 | H6
India (699) | Export | Somalia | HS 1701 | 2022 | 377596930.811 | 783766900.0 | H6
Netherlands (528) | Export | Somalia | HS 1701 | 2022 | 9759.655 | 13274.0 | H6
Oman (512) | Export | Somalia | HS 1701 | 2022 | 654522.756 | 1050000.0 | H6
Oman (512) | Re-export | Somalia | HS 1701 | 2022 | 233648.894 | 315000.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 1701 | 2022 | 302780.259 | 449800.0 | H6
Saudi Arabia (682) | Re-export | Somalia | HS 1701 | 2022 | 7114.666 | 7000.0 | H6
Turkiye (792) | Export | Somalia | HS 1701 | 2022 | 3301.0 | 3500.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1701 | 2022 | 5825374.492 | 8320235.25 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1701 | 2022 | 707077.905 | 863562.0 | H6
United Kingdom (826) | Export | Somalia | HS 1701 | 2022 | 4371.432 | 5011.0 | H6
Bahrain (48) | Export | Somalia | HS 1701 | 2023 | 21932.473 | 28932.017 | H6
Bahrain (48) | Re-export | Somalia | HS 1701 | 2023 | 21932.473 | 28932.017 | H6
Brazil (76) | Export | Somalia | HS 1701 | 2023 | 167470318.0 | 317568120.0 | H6
China (156) | Export | Somalia | HS 1701 | 2023 | 305225.0 | 293200.0 | H6
Djibouti (262) | Export | Somalia | HS 1701 | 2023 | 265940.731 | 117000.0 | H3
Ethiopia (231) | Export | Somalia | HS 1701 | 2023 | 20710.942 | 50000.0 | H6
India (699) | Export | Somalia | HS 1701 | 2023 | 222282245.158 | 389448600.0 | H6
Netherlands (528) | Export | Somalia | HS 1701 | 2023 | 5461.488 | 4503.0 | H6
Pakistan (586) | Export | Somalia | HS 1701 | 2023 | 836454.342 | 1905000.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 1701 | 2023 | 91794.931 | 119514.195 | H6
Turkiye (792) | Export | Somalia | HS 1701 | 2023 | 1420.0 | 1436.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1701 | 2023 | 2362590.172 | 3102731.7 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1701 | 2023 | 1308709.565 | 1660135.5 | H6
Yemen (887) | Export | Somalia | HS 1701 | 2023 | 9356.973 | 63100.0 | H4
Bahrain (48) | Export | Somalia | HS 1701 | 2024 | 4307151.529 | 7540130.0 | H6
Brazil (76) | Export | Somalia | HS 1701 | 2024 | 143499881.0 | 273698177.0 | H6
China (156) | Export | Somalia | HS 1701 | 2024 | 491296.0 | 373040.0 | H6
Egypt (818) | Export | Somalia | HS 1701 | 2024 | 28404808.185 | 39787065.735 | H6
India (699) | Export | Somalia | HS 1701 | 2024 | 240163611.19 | 392511000.0 | H6
Netherlands (528) | Export | Somalia | HS 1701 | 2024 | 334.456 | 285.0 | H6
Oman (512) | Export | Somalia | HS 1701 | 2024 | 203859.558 | 270810.0 | H6
Oman (512) | Re-export | Somalia | HS 1701 | 2024 | 203859.558 | 270810.0 | H6
Pakistan (586) | Export | Somalia | HS 1701 | 2024 | 493473.318 | 936000.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 1701 | 2024 | 123794.93 | 216000.0 | H6
Turkiye (792) | Export | Somalia | HS 1701 | 2024 | 2003.0 | 815.0 | H6
Yemen (887) | Export | Somalia | HS 1701 | 2024 | 600000.0 | 1000000.0 | H5
Djibouti (262) | Export | Somalia | HS 1902 | 2021 | 486101.573 | 775167.0 | H3
Egypt (818) | Export | Somalia | HS 1902 | 2021 | 238699.25 | 199929.757 | H4
Indonesia (360) | Export | Somalia | HS 1902 | 2021 | 40339.73 | 50224.0 | H5
Italy (380) | Export | Somalia | HS 1902 | 2021 | 805926.344 | 942446.0 | H5
Kenya (404) | Export | Somalia | HS 1902 | 2021 | 4594.538 | 749.0 | H5
Netherlands (528) | Export | Somalia | HS 1902 | 2021 | 15605.076 | 8126.0 | H5
Oman (512) | Export | Somalia | HS 1902 | 2021 | 25198689.167 | 49441360.0 | H5
Oman (512) | Re-export | Somalia | HS 1902 | 2021 | 8291003.888 | 17468320.0 | H5
Saudi Arabia (682) | Export | Somalia | HS 1902 | 2021 | 53611.999 | 78497.0 | H5
South Africa (710) | Export | Somalia | HS 1902 | 2021 | 39040.027 | 55567.0 | H5
Turkiye (792) | Export | Somalia | HS 1902 | 2021 | 107744562.0 | 207246218.0 | H5
United Arab Emirates (784) | Export | Somalia | HS 1902 | 2021 | 1016953.314 | 2237687.7 | H5
United Arab Emirates (784) | Re-export | Somalia | HS 1902 | 2021 | 753989.91 | 1754996.0 | H5
Djibouti (262) | Export | Somalia | HS 1902 | 2022 | 203992.936 | 362205.0 | H3
Egypt (818) | Export | Somalia | HS 1902 | 2022 | 49444.0 | 31899.346 | H6
Indonesia (360) | Export | Somalia | HS 1902 | 2022 | 23760.55 | 10938.4 | H6
Italy (380) | Export | Somalia | HS 1902 | 2022 | 365863.845 | 300479.0 | H6
Kenya (404) | Export | Somalia | HS 1902 | 2022 | 4852.224 | 713.0 | H6
Netherlands (528) | Export | Somalia | HS 1902 | 2022 | 17754.4 | 6891.0 | H6
Oman (512) | Export | Somalia | HS 1902 | 2022 | 9737661.883 | 17135665.0 | H6
Oman (512) | Re-export | Somalia | HS 1902 | 2022 | 3525765.924 | 5312995.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 1902 | 2022 | 459925.055 | 490721.0 | H6
South Africa (710) | Export | Somalia | HS 1902 | 2022 | 46229.932 | 45545.54 | H6
Turkiye (792) | Export | Somalia | HS 1902 | 2022 | 94869292.0 | 154599983.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1902 | 2022 | 678831.583 | 927986.5 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1902 | 2022 | 662968.913 | 922287.0 | H6
Bahrain (48) | Export | Somalia | HS 1902 | 2023 | 1477.319 | 931.914 | H6
Bahrain (48) | Re-export | Somalia | HS 1902 | 2023 | 1477.319 | 931.914 | H6
Djibouti (262) | Export | Somalia | HS 1902 | 2023 | 1169727.385 | 1725714.6 | H3
Egypt (818) | Export | Somalia | HS 1902 | 2023 | 185902.5 | 113782.129 | H6
Germany (276) | Export | Somalia | HS 1902 | 2023 | 1512.557 | 31.0 | H6
India (699) | Export | Somalia | HS 1902 | 2023 | 30973.037 | 47820.0 | H6
Indonesia (360) | Export | Somalia | HS 1902 | 2023 | 46101.36 | 22314.4 | H6
Italy (380) | Export | Somalia | HS 1902 | 2023 | 440760.771 | 410170.0 | H6
Netherlands (528) | Export | Somalia | HS 1902 | 2023 | 20278.112 | 7195.0 | H6
Oman (512) | Export | Somalia | HS 1902 | 2023 | 13438041.591 | 22641712.0 | H6
Oman (512) | Re-export | Somalia | HS 1902 | 2023 | 6503583.865 | 9442212.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 1902 | 2023 | 226608.794 | 87879.12 | H6
South Africa (710) | Export | Somalia | HS 1902 | 2023 | 264455.253 | 19231.0 | H6
Turkiye (792) | Export | Somalia | HS 1902 | 2023 | 142170113.0 | 224137978.0 | H6
United Arab Emirates (784) | Export | Somalia | HS 1902 | 2023 | 472507.859 | 373444.9 | H6
United Arab Emirates (784) | Re-export | Somalia | HS 1902 | 2023 | 402587.333 | 313884.8 | H6
United Kingdom (826) | Export | Somalia | HS 1902 | 2023 | 1608.375 | 4457.0 | H6
Yemen (887) | Export | Somalia | HS 1902 | 2023 | 7791.977 | 15650.0 | H4
Egypt (818) | Export | Somalia | HS 1902 | 2024 | 322458.262 | 193770.902 | H6
Indonesia (360) | Export | Somalia | HS 1902 | 2024 | 84969.38 | 52636.67 | H6
Italy (380) | Export | Somalia | HS 1902 | 2024 | 418312.988 | 379663.0 | H6
Netherlands (528) | Export | Somalia | HS 1902 | 2024 | 34547.42 | 10624.0 | H6
Oman (512) | Export | Somalia | HS 1902 | 2024 | 17295591.65 | 30779106.0 | H6
Oman (512) | Re-export | Somalia | HS 1902 | 2024 | 4783123.53 | 7308936.0 | H6
Saudi Arabia (682) | Export | Somalia | HS 1902 | 2024 | 313727.725 | 324715.0 | H6
South Africa (710) | Export | Somalia | HS 1902 | 2024 | 92077.666 | 77516.0 | H6
Turkiye (792) | Export | Somalia | HS 1902 | 2024 | 122651904.0 | 196563509.0 | H6
Yemen (887) | Export | Somalia | HS 1902 | 2024 | 8070.0 | 9890.0 | H5
China (156) | Export | Somalia | HS 3401 | 2021 | 186902.0 | 101270.0 | H5
Djibouti (262) | Export | Somalia | HS 3401 | 2021 | 81204.897 | 114208.401 | H3
Egypt (818) | Export | Somalia | HS 3401 | 2021 | 2720.0 | 1244.002 | H4
Ethiopia (231) | Export | Somalia | HS 3401 | 2021 | 89777.51 | 93308.0 | H5
Germany (276) | Export | Somalia | HS 3401 | 2021 | 11807.523 | 5436.0 | H5
India (699) | Export | Somalia | HS 3401 | 2021 | 898872.58 | 947086.0 | H5
Indonesia (360) | Export | Somalia | HS 3401 | 2021 | 5946667.324 | 7275637.1 | H5
Kenya (404) | Export | Somalia | HS 3401 | 2021 | 6762901.305 | 8821346.0 | H5
Malaysia (458) | Export | Somalia | HS 3401 | 2021 | 990928.336 | 1248630.0 | H5
Netherlands (528) | Export | Somalia | HS 3401 | 2021 | 6119.498 | 6111.0 | H5
Oman (512) | Export | Somalia | HS 3401 | 2021 | 540052.015 | 746959.0 | H5
Oman (512) | Re-export | Somalia | HS 3401 | 2021 | 531908.972 | 710959.0 | H5
Pakistan (586) | Export | Somalia | HS 3401 | 2021 | 7829.982 | 3694.0 | H5
Saudi Arabia (682) | Export | Somalia | HS 3401 | 2021 | 147756.53 | 180254.0 | H5
South Africa (710) | Export | Somalia | HS 3401 | 2021 | 48138.27 | 42971.56 | H5
Spain (724) | Export | Somalia | HS 3401 | 2021 | 9497.795 | 5179.02 | H5
Thailand (764) | Export | Somalia | HS 3401 | 2021 | 7.998 | 5.0 | H5
Turkiye (792) | Export | Somalia | HS 3401 | 2021 | 525035.0 | 586833.0 | H5
USA (842) | Export | Somalia | HS 3401 | 2021 | 3951.0 | 346.0 | H5
United Arab Emirates (784) | Export | Somalia | HS 3401 | 2021 | 2510568.831 | 1663593.75 | H5
United Arab Emirates (784) | Re-export | Somalia | HS 3401 | 2021 | 1393442.886 | 832550.0 | H5
United Kingdom (826) | Export | Somalia | HS 3401 | 2021 | 10417.226 | 705.0 | H5
China (156) | Export | Somalia | HS 3401 | 2022 | 319193.0 | 193007.0 | H6
Djibouti (262) | Export | Somalia | HS 3401 | 2022 | 47243.178 | 147295.0 | H3
Egypt (818) | Export | Somalia | HS 3401 | 2022 | 41300.0 | 16329.502 | H6
Ethiopia (231) | Export | Somalia | HS 3401 | 2022 | 40918.265 | 38115.0 | H6
Germany (276) | Export | Somalia | HS 3401 | 2022 | 1967.401 | 1065.0 | H6
India (699) | Export | Somalia | HS 3401 | 2022 | 1712488.212 | 1476791.342 | H6
Indonesia (360) | Export | Somalia | HS 3401 | 2022 | 5393339.615 | 5418871.0 | H6
Italy (380) | Export | Somalia | HS 3401 | 2022 | 2995.923 | 86.0 | H6
Kenya (404) | Export | Somalia | HS 3401 | 2022 | 10757002.424 | 11376667.4 | H6
Malaysia (458) | Export | Somalia | HS 3401 | 2022 | 1479769.574 | 1410490.0 | H6
Netherlands (528) | Export | Somalia | HS 3401 | 2022 | 3239.178 | 2030.0 | H6
Oman (512) | Export | Somalia | HS 3401 | 2022 | 1135846.552 | 982188.0 | H6
Oman (512) | Re-export | Somalia | HS 3401 | 2022 | 1135846.552 | 982188.0 | H6
Pakistan (586) | Export | Somalia | HS 3401 | 2022 | 20488.186 | 14412.0 | H6
