=== PAGE 1 ===
# UN Comtrade (comtradeapi.un.org public preview API, annual HS data) rows retrieved 2026-09-24 with tools/comtrade_pull_3.py, one line per record.
# (1) Imports of fresh or chilled bovine meat (HS 0201) in 2023 by the six GCC states, by partner (0 = World).
# (2) Imports from Somalia (706) of lac, natural gums, resins and gum-resins (HS 1301) and essential oils (HS 3301) in 2023; twelve partners queried, eleven reporting (Oman none).
# Filter: partner2Code 0, customsCode C00, motCode 0. Values in current USD; net weight in kg (blank where not reported). Partner names from UN Comtrade M49 codes.
# Format: Reporter (code) | Flow | Partner (code) | HS code | Year | Trade value USD | Net weight kg | Quantity | Quantity unit code | HS version
United Arab Emirates (784) | Import | Brazil (76) | HS 0201 | 2023 | 66479364.826 | 12033389.37 | 12033389.37 | 8 | H6
United Arab Emirates (784) | Import | Lebanon (422) | HS 0201 | 2023 | 33.547 | 54.0 | 54.0 | 8 | H6
United Arab Emirates (784) | Import | Oman (512) | HS 0201 | 2023 | 2570.268 | 319.5 | 319.5 | 8 | H6
United Arab Emirates (784) | Import | Philippines (608) | HS 0201 | 2023 | 2874.007 | 440.0 | 440.0 | 8 | H6
United Arab Emirates (784) | Import | Ireland (372) | HS 0201 | 2023 | 322885.769 | 32487.0 | 32487.0 | 8 | H6
United Arab Emirates (784) | Import | Romania (642) | HS 0201 | 2023 | 7164.817 | 531.0 | 531.0 | 8 | H6
United Arab Emirates (784) | Import | New Zealand (554) | HS 0201 | 2023 | 19558662.449 | 1964385.0 | 1964385.0 | 8 | H6
United Arab Emirates (784) | Import | Argentina (32) | HS 0201 | 2023 | 1202048.206 | 103294.9 | 103294.9 | 8 | H6
United Arab Emirates (784) | Import | Colombia (170) | HS 0201 | 2023 | 2460889.015 | 439868.0 | 439868.0 | 8 | H6
United Arab Emirates (784) | Import | Kenya (404) | HS 0201 | 2023 | 1081387.64 | 190095.0 | 190095.0 | 8 | H6
United Arab Emirates (784) | Import | Ethiopia (231) | HS 0201 | 2023 | 50411.133 | 8695.0 | 8695.0 | 8 | H6
United Arab Emirates (784) | Import | Sudan (729) | HS 0201 | 2023 | 115977.669 | 17913.0 | 17913.0 | 8 | H6
United Arab Emirates (784) | Import | Niger (562) | HS 0201 | 2023 | 158.764 | 345.0 | 345.0 | 8 | H6
United Arab Emirates (784) | Import | Azerbaijan (31) | HS 0201 | 2023 | 1773.846 | 202.0 | 202.0 | 8 | H6
United Arab Emirates (784) | Import | Kyrgyzstan (417) | HS 0201 | 2023 | 2875.033 | 348.0 | 348.0 | 8 | H6
United Arab Emirates (784) | Import | United Rep. of Tanzania (834) | HS 0201 | 2023 | 204121.182 | 46804.0 | 46804.0 | 8 | H6
United Arab Emirates (784) | Import | Uruguay (858) | HS 0201 | 2023 | 297078.271 | 20821.0 | 20821.0 | 8 | H6
United Arab Emirates (784) | Import | Kazakhstan (398) | HS 0201 | 2023 | 799971.517 | 67126.0 | 67126.0 | 8 | H6
Oman (512) | Import | Sudan (729) | HS 0201 | 2023 | 12054.616 | 3000.0 | 3000.0 | 8 | H6
Oman (512) | Import | New Zealand (554) | HS 0201 | 2023 | 2983386.211 | 354364.0 | 354364.0 | 8 | H6
Oman (512) | Import | Russian Federation (643) | HS 0201 | 2023 | 21750.325 | 1002.0 | 1002.0 | 8 | H6
Oman (512) | Import | Brazil (76) | HS 0201 | 2023 | 814127.437 | 131243.0 | 131243.0 | 8 | H6
Oman (512) | Import | Morocco (504) | HS 0201 | 2023 | 593981.794 | 100309.0 | 100309.0 | 8 | H6
Oman (512) | Import | South Africa (710) | HS 0201 | 2023 | 598249.674 | 63797.0 | 63797.0 | 8 | H6
Oman (512) | Import | Australia (36) | HS 0201 | 2023 | 118470.741 | 12299.0 | 12299.0 | 8 | H6
Oman (512) | Import | Philippines (608) | HS 0201 | 2023 | 131921.976 | 10661.0 | 10661.0 | 8 | H6
Oman (512) | Import | Pakistan (586) | HS 0201 | 2023 | 11780931.061 | 3343863.0 | 3343863.0 | 8 | H6
Oman (512) | Import | Egypt (818) | HS 0201 | 2023 | 12842.653 | 1242.0 | 1242.0 | 8 | H6
Oman (512) | Import | Bahrain (48) | HS 0201 | 2023 | 24566.97 | 5790.0 | 5790.0 | 8 | H6
Oman (512) | Import | Italy (380) | HS 0201 | 2023 | 5126.138 | 357.0 | 357.0 | 8 | H6
Oman (512) | Import | USA (842) | HS 0201 | 2023 | 83131.339 | 2729.0 | 2729.0 | 8 | H6
Oman (512) | Import | Turkiye (792) | HS 0201 | 2023 | 111651.495 | 5040.0 | 5040.0 | 8 | H6
Oman (512) | Import | Qatar (634) | HS 0201 | 2023 | 939352.404 | 47608.0 | 47608.0 | 8 | H6
Oman (512) | Import | World (0) | HS 0201 | 2023 | 27878850.412 | 5568245.0 | 5568245.0 | 8 | H6
Oman (512) | Import | India (699) | HS 0201 | 2023 | 2588434.326 | 663526.0 | 663526.0 | 8 | H6
Oman (512) | Import | United Arab Emirates (784) | HS 0201 | 2023 | 7058871.25 | 821415.0 | 821415.0 | 8 | H6
Qatar (634) | Import | United Rep. of Tanzania (834) | HS 0201 | 2023 | 276888.715 | 44838.683 | 44838.683 | 8 | H6
Qatar (634) | Import | USA (842) | HS 0201 | 2023 | 15310428.844 | 1656810.372 | 1656810.372 | 8 | H6
Qatar (634) | Import | Egypt (818) | HS 0201 | 2023 | 729739.83 | 130878.509 | 130878.509 | 8 | H6
Qatar (634) | Import | South Africa (710) | HS 0201 | 2023 | 12236765.098 | 1314507.069 | 1314507.069 | 8 | H6
Qatar (634) | Import | India (699) | HS 0201 | 2023 | 5014881.23 | 506156.265 | 506156.265 | 8 | H6
Qatar (634) | Import | Colombia (170) | HS 0201 | 2023 | 579758.567 | 58515.529 | 58515.529 | 8 | H6
Qatar (634) | Import | New Zealand (554) | HS 0201 | 2023 | 4185754.876 | 423282.889 | 423282.889 | 8 | H6
Qatar (634) | Import | Pakistan (586) | HS 0201 | 2023 | 30571869.81 | 5397661.394 | 5397661.394 | 8 | H6
Qatar (634) | Import | Paraguay (600) | HS 0201 | 2023 | 1047179.319 | 105692.707 | 105692.707 | 8 | H6
Qatar (634) | Import | Brazil (76) | HS 0201 | 2023 | 9831143.41 | 992265.738 | 992265.738 | 8 | H6
Qatar (634) | Import | Argentina (32) | HS 0201 | 2023 | 799534.185 | 86263.007 | 86263.007 | 8 | H6
Qatar (634) | Import | Australia (36) | HS 0201 | 2023 | 19217074.807 | 1983071.332 | 1983071.332 | 8 | H6
Qatar (634) | Import | Netherlands (528) | HS 0201 | 2023 | 981596.265 | 125376.779 | 125376.779 | 8 | H6
