output_key,label,p10,p50,p90
national.value_added.2032,Direct value added 2032 (USD million),80.01450453081577,97.55424818941891,116.69028965092171
national.total_va.2032,Total value added incl. indirect and induced 2032 (USD million),171.0615511569489,211.7242378714222,262.5888261359762
national.total_va_share_gdp.2032,Total value added as share of GDP 2032,0.007058128779457551,0.008741395750606387,0.01085112479533864
national.household_income.2032,Household income 2032 (USD million),96.8287752359673,126.26604406510648,164.29657447923412
national.tax_revenue.2032,Net tax revenue 2032 (USD million),-1.2173092787446465,1.1562918832318894,3.767653763517596
national.jobs.2032,Direct jobs 2032,15046.423477956501,19101.8635046619,23907.972599645414
national.net_fx.2032,Net foreign-exchange effect 2032 (USD million),192.40345367083256,239.88170974535836,297.2283112075796
climate.total.avoided_t.2032,Avoided emissions 2032 (t CO2e),164140.5167101344,238748.56492173596,338876.85003913054
