id,parameter,low,base,high,national.value_added.2032.at_low,national.value_added.2032.at_high,national.value_added.2032.swing,national.total_va.2032.at_low,national.total_va.2032.at_high,national.total_va.2032.swing,national.total_va_share_gdp.2032.at_low,national.total_va_share_gdp.2032.at_high,national.total_va_share_gdp.2032.swing,national.household_income.2032.at_low,national.household_income.2032.at_high,national.household_income.2032.swing,national.tax_revenue.2032.at_low,national.tax_revenue.2032.at_high,national.tax_revenue.2032.swing,national.jobs.2032.at_low,national.jobs.2032.at_high,national.jobs.2032.swing,national.net_fx.2032.at_low,national.net_fx.2032.at_high,national.net_fx.2032.swing,climate.total.avoided_t.2032.at_low,climate.total.avoided_t.2032.at_high,climate.total.avoided_t.2032.swing
A-118,Business process outsourcing: capacity in operation at full build-out (2032),2000.0,5000.0,10000.0,79.392528,107.040528,27.647999999999996,185.28490257352942,225.94372610294118,40.65882352941176,0.007605597162854811,0.009274565484532236,0.001668968321677425,111.17094154411764,135.56623566176472,24.395294117647083,0.44258975205882356,1.581036810882353,1.1384470588235294,14716.8,23036.8,8320.0,211.827276,253.299276,41.47199999999998,236303.25538102718,244673.68738102718,8370.432
A-034,Fish and seafood processing and cold chain: capacity in operation at full build-out (2032),30000.0,60000.0,120000.0,82.373328,104.534928,22.161599999999993,171.7471819852941,258.1015202205882,86.35433823529411,0.007049899165515046,0.01059458251942144,0.0035446833539063936,103.04830919117646,154.86091213235295,51.81260294117649,0.4367815755882355,1.7349590461764708,1.2981774705882354,16924.8,19660.8,2736.0,192.387276,297.363276,104.97599999999997,238578.9665810272,241168.56898102717,2589.6023999999743
A-109,Baati and macawis garments: capacity in operation at full build-out (2032),5000.0,10000.0,20000.0,82.848528,103.584528,20.736000000000004,191.79666727941174,218.00254963235292,26.205882352941188,0.00787289287062346,0.008948595109204613,0.0010757022385811527,115.07800036764705,130.80152977941174,15.723529411764687,1.1778791638235295,0.25276386970588227,0.9251152941176473,13836.8,25836.8,12000.0,218.739276,244.659276,25.920000000000016,235954.4873810272,246417.52738102718,10463.039999999979
A-008,"Additionality, coastal export processing: share of modelled activity that would not happen without the policy",0.6,0.8,1.0,81.078678,98.442378,17.36370000000001,174.64999218749998,226.41393060661767,51.76393841911769,0.007169054070915078,0.009293866496052612,0.002124812425137534,104.78999531249998,135.8483583639706,31.058363051470607,0.3731242612500001,1.365890536985294,0.992766275735294,17092.8,18580.8,1488.0,193.830426,260.928126,67.09770000000003,239442.1673810272,239442.1673810272,0.0
A-036,Fish and seafood processing and cold chain: price or output value per unit,1500.0,3000.0,5000.0,82.373328,99.610128,17.236800000000002,171.7471819852941,238.91166727941177,67.16448529411767,0.007049899165515046,0.009806875107442242,0.002756975941927196,103.04830919117646,143.34700036764704,40.298691176470584,0.4367815755882355,1.4464751638235296,1.0096935882352942,17836.8,17836.8,0.0,192.387276,274.035276,81.648,239442.1673810272,239442.1673810272,0.0
A-012,Chilled beef and camel meat for Gulf markets: capacity in operation at full build-out (2032),15000.0,30000.0,45000.0,81.296028,98.225028,16.928999999999988,179.91530238970586,221.14862040441176,41.2333180147059,0.007385185162975078,0.00907773540399261,0.0016925502410175325,107.94918143382351,132.68917224264706,24.73999080882355,0.3635209469117649,1.375493851323529,1.0119729044117642,17656.8,18016.8,360.0,197.692776,257.065776,59.37300000000002,238706.4848810272,240177.84988102718,1471.3649999999907
A-010,"Additionality, light manufacturing and consumer staples: share of modelled activity that would not happen without the policy",0.6,0.8,1.0,82.055376,97.46568,15.41030400000001,187.4921194852941,213.5718033088235,26.079683823529393,0.007696199270467225,0.008766721296500463,0.001070522026033238,112.49527169117646,128.14308198529412,15.647810294117662,1.4082971055882354,0.33071769264705886,1.0775794129411764,15669.6,20004.0,4334.4,213.966252,240.7923,26.826048000000014,239442.1673810272,239442.1673810272,0.0
A-005,Cumulative share of the 2032 target capacity in operation by the end of 2031 (all lines and modules),0.6,0.8,0.9,79.787136,94.747224,14.960087999999999,178.2506323529412,211.67262591911765,33.42199356617644,0.007316853585318975,0.008688763632566281,0.0013719100472473064,106.95037941176473,127.00357555147059,20.05319613970586,0.7728954658823532,0.9178133657352945,0.14491789985294123,17836.8,17836.8,0.0,202.114912,240.011458,37.896546,215209.0821164686,251558.7100133065,36349.62789683789
A-120,Business process outsourcing: price or output value per unit,7000.0,10000.0,15000.0,84.576528,98.400528,13.823999999999998,192.90843198529413,213.23784375,20.329411764705867,0.007918528723169328,0.00875301288400804,0.0008344841608387121,115.74505919117648,127.94270625,12.19764705882352,0.6560485755882354,1.225272105,0.5692235294117646,17836.8,17836.8,0.0,219.603276,240.339276,20.73600000000002,239442.1673810272,239442.1673810272,0.0
A-111,Baati and macawis garments: price or output value per unit,4000.0,6000.0,9000.0,85.152528,96.672528,11.519999999999996,194.7084319852941,209.26725551470588,14.558823529411768,0.00799241534157692,0.008590027696344229,0.0005976123547673084,116.82505919117646,125.56035330882351,8.735294117647044,1.0750885755882356,0.5611356344117647,0.5139529411764708,17836.8,17836.8,0.0,221.619276,236.019276,14.399999999999977,239442.1673810272,239442.1673810272,0.0
A-121,Business process outsourcing: value-added ratio (share of gross output),0.41,0.6,0.8,84.288528,95.520528,11.232,197.7657849264706,203.44372610294118,5.677941176470597,0.008117913936078056,0.008350982754437306,0.00023306881835924963,118.65947095588236,122.06623566176471,3.4067647058823525,0.7920544579411765,0.951036810882353,0.15898235294117657,17836.8,17836.8,0.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-006,Cumulative share of the 2032 target capacity in operation by the end of 2032 (all lines and modules),0.8,1.0,1.0,79.787136,89.760528,9.97339199999999,178.2506323529412,200.5319613970588,22.281329044117598,0.007316853585318975,0.008231460283483844,0.0009146066981648689,106.95037941176473,120.3191768382353,13.368797426470564,0.7728954658823532,0.8695073991176471,0.09661193323529382,14269.44,17836.8,3567.3599999999988,202.114912,227.379276,25.264364,222970.6821164686,239442.1673810272,16471.485264558578
A-011,"Additionality, business services (BPO): share of modelled activity that would not happen without the policy",0.6,0.8,1.0,85.440528,94.080528,8.64,194.17902022058823,206.88490257352942,12.705882352941188,0.007970683983221746,0.008492236583745942,0.0005215526005241961,116.50741213235294,124.13094154411765,7.623529411764707,0.6916250461764706,1.0473897520588236,0.355764705882353,16536.8,19136.8,2600.0,220.899276,233.859276,12.960000000000008,239442.1673810272,239442.1673810272,0.0
A-007,Output in the commissioning year as a share of mature utilisation (ramp-up),0.3,0.5,0.7,85.7711712,93.7498848,7.978713600000006,191.61942977941177,209.4444930147059,17.825063235294124,0.007865617604217896,0.008597302962749794,0.0007316853585318979,114.97165786764705,125.66669580882352,10.695037941176466,0.8308626258235301,0.9081521724117647,0.07728954658823461,17836.8,17836.8,0.0,217.2735304,237.48502159999998,20.211491199999983,225868.13327520376,253016.20148685062,27148.068211646867
A-035,Fish and seafood processing and cold chain: mature capacity utilisation,0.45,0.6,0.75,86.066928,93.454128,7.387199999999993,186.13957169117646,214.9243511029412,28.78477941176473,0.007640679724499445,0.008822240842468245,0.0011815611179688,111.68374301470588,128.95461066176472,17.270867647058836,0.6531444873529413,1.0858703108823533,0.432725823529412,17836.8,17836.8,0.0,209.883276,244.875276,34.99200000000002,239010.5669810272,239873.76778102719,863.2007999999914
A-014,Chilled beef and camel meat for Gulf markets: price or output value per unit,4800.0,5500.0,7000.0,87.605928,94.377528,6.771599999999992,195.2840845588235,211.77741176470587,16.493327205882366,0.00801604479826343,0.008693064894670444,0.0006770200964070147,117.17045073529411,127.06644705882353,9.895996323529417,0.7407108476470591,1.1455000094117649,0.4047891617647058,17836.8,17836.8,0.0,216.606276,250.464276,33.858000000000004,239442.1673810272,239442.1673810272,0.0
A-082,Camel milk and dairy processing: capacity in operation at full build-out (2032),30000000.0,60000000.0,120000000.0,87.544368,94.192848,6.648479999999992,193.41885110294115,214.7581819852941,21.339330882352954,0.00793948046904351,0.008815419912364512,0.0008759394433210024,116.0513106617647,128.85490919117646,12.803598529411758,0.8718942308823531,0.8647337355882352,0.007160495294117886,17788.8,17932.8,144.0,221.080716,239.976396,18.89568,239206.7489810272,239913.00418102718,706.255199999985
A-076,Flour milling with grain silos: value-added ratio (share of gross output),0.08,0.12,0.21,87.917328,93.907728,5.990400000000008,199.26137316176468,203.3907849264706,4.129411764705907,0.008179305023431425,0.008348809618601788,0.00016950459517036352,119.55682389705882,122.03447095588236,2.4776470588235355,0.8339309285294114,0.9495544579411762,0.11562352941176479,17836.8,17836.8,0.0,227.379276,227.379276,0.0,239442.1673810272,239442.1673810272,0.0
A-013,Chilled beef and camel meat for Gulf markets: mature capacity utilisation,0.6,0.75,0.85,86.374728,92.017728,5.643000000000001,192.28529779411767,206.02973713235292,13.744439338235253,0.007892950235280338,0.008457133648952848,0.0005641834136725105,115.37117867647058,123.61784227941176,8.246663602941183,0.6671128182352943,1.0044371197058823,0.337324301470588,17836.8,17836.8,0.0,215.504676,235.295676,19.790999999999997,239147.8943810272,239638.3493810272,490.4549999999872
A-119,Business process outsourcing: mature capacity utilisation,0.65,0.8,0.9,86.520528,91.920528,5.400000000000006,195.7672555147059,203.70843198529414,7.941176470588232,0.008035878058287272,0.008361848433614894,0.0003259703753276215,117.46035330882353,122.22505919117647,4.764705882352942,0.7360956344117647,0.9584485755882354,0.22235294117647064,17836.8,17836.8,0.0,222.519276,230.619276,8.100000000000023,238461.2573810272,240096.1073810272,1634.8500000000058
A-173,"Frankincense and myrrh: grading, cleaning, distillation of essential oils and extracts: capacity in operation at full build-out (2032)",800.0,1500.0,3000.0,88.278768,92.935728,4.656959999999998,198.12915992647058,205.68082169117645,7.5516617647058695,0.008132829797169089,0.00844281132558689,0.0003099815284178017,118.87749595588235,123.40849301470588,4.53099705882353,0.8090027179411765,0.9991602873529414,0.19015756941176487,17780.8,17956.8,176.0,225.262476,231.915276,6.652800000000013,239335.35718102718,239671.04638102718,335.68919999999343
