sam,code,activity,va_ratio,labour_share,va_mult_I,va_mult_II,gross_output
Kenya 2019 (S-147),afood,Processed foods,0.17105263157894737,0.14479638009049775,4.808217937123349,12.519527504241013,1292.0
Kenya 2019 (S-147),aoils,Oilseeds,0.8771929824561404,0.44,1.102711746658507,3.033223633863504,57.0
Kenya 2019 (S-147),afrui,Fruits and nuts,0.8982683982683983,0.5951807228915663,1.0787393748758307,2.9858064879525807,462.0
Kenya 2019 (S-147),aocer,Other cereals,0.8526315789473685,0.3950617283950617,1.0864578161065437,3.0073108461227966,190.0
Kenya 2019 (S-147),atext,"Textiles, clothing and footwear",0.4144486692015209,0.3853211009174312,1.7980193231603183,4.497081011728765,263.0
Kenya 2019 (S-147),achem,Chemicals and petroleum,0.4537444933920705,0.11650485436893204,1.8315205703707191,4.4436674540387004,227.0
Kenya 2019 (S-147),absrv,Business services,0.4083885209713024,0.4702702702702703,1.9293557026649923,4.7529118218309785,453.0
Kenya 2019 (S-147),afish,Fisheries,0.45794392523364486,0.04081632653061224,1.7640276895183502,4.20532037368495,107.0
Kenya 2019 (S-147),acatt,Cattle and raw milk,0.37185929648241206,0.0777027027027027,2.3126527901250635,5.800324345097396,796.0
Kenya 2019 (S-147),aoliv,Other livestock,0.24413145539906103,0.057692307692307696,3.482150943189054,8.809506694398415,213.0
Kenya 2019 (S-147),atrad,Wholesale and retail trade,0.5697583787996883,0.48153214774281805,1.57432176696783,3.9155931826554484,1283.0
Kenya 2019 (S-147),atran,Transportation and storage,0.597953216374269,0.29584352078239606,1.4465143071309399,3.5172911413211727,1368.0
Kenya 2019 (S-147),acons,Construction,0.41853281853281854,0.3948339483394834,1.9495123119620028,4.798229805435029,1295.0
Kenya 2019 (S-147),awood,Wood and paper products,0.26771653543307083,0.35294117647058826,2.921002928207215,7.057005139062501,127.0
Kenya 2019 (S-147),ametl,Metal products,0.23529411764705882,0.18181818181818182,2.8397123443435417,6.836595189886485,187.0
Kenya 2019 (S-147),aoman,Other manufacturing,0.283987915407855,0.11702127659574468,2.475413317389727,5.946051006186239,331.0
Kenya 2019 (S-147),afore,Forestry,0.9459459459459459,0.05714285714285714,1.0351292463280373,2.4300216214787493,148.0
Ethiopia 2022 (S-148),afood,Processed foods,0.20979727990755948,0.17800055238223073,4.09189908131568,11.796389403233007,444.4101318
Ethiopia 2022 (S-148),aoils,Oilseeds,0.9700446588815426,0.3999796160870932,1.022756335864743,3.114422080108339,85.25074226
Ethiopia 2022 (S-148),afrui,Fruits and nuts,0.9400769620594033,0.4948571374637527,1.0347483876299923,3.121856291960293,23.92871779
Ethiopia 2022 (S-148),aocer,Other cereals,0.8373734353297186,0.7255135415962118,1.1362045398120393,3.4422291702860064,647.0780694
Ethiopia 2022 (S-148),atext,"Textiles, clothing and footwear",0.3945540965618187,0.3724010105155313,1.8314158766634303,5.168067174786649,84.94415339
Ethiopia 2022 (S-148),achem,Chemicals and petroleum,0.35312116241124303,0.17083865131784753,1.502702572090122,4.1426554030578995,45.588685
Ethiopia 2022 (S-148),absrv,Business services,0.9629032344569837,0.4320731438913023,1.026173655699598,2.9102265896372876,100.2697985
Ethiopia 2022 (S-148),afish,Fisheries,0.19839111940153173,0.30339159546284933,4.041771457116466,11.215726223091346,32.47588606
Ethiopia 2022 (S-148),acatt,Cattle and raw milk,0.6939817517905006,0.17415967418106285,1.3804255211346022,3.873990794614402,628.8401939
Ethiopia 2022 (S-148),aoliv,Other livestock,0.7276339391639015,0.34253816694995487,1.3153658113603295,3.7492071711784245,243.7744331
Ethiopia 2022 (S-148),atrad,Wholesale and retail trade,0.6838069509515141,0.16861527910015392,1.3202957218578708,3.6425140924171706,1404.260493
Ethiopia 2022 (S-148),atran,Transportation and storage,0.20095337834605131,0.36639827669564845,3.2697782555379056,9.131966161252855,600.388095
Ethiopia 2022 (S-148),acons,Construction,0.6723002511742747,0.22345284453245723,1.2638708648417958,3.498103724807372,2108.739443
Ethiopia 2022 (S-148),awood,Wood and paper products,0.782947826472839,0.28279161761365496,1.1122732663109234,3.100723258666363,39.7890887
Ethiopia 2022 (S-148),ametl,Metal products,0.3447986708260954,0.13227964655203286,1.867726999185263,5.135610029380348,107.7731661
Ethiopia 2022 (S-148),aoman,Other manufacturing,0.7512718655365636,0.27907366092411634,1.1384877089508283,3.1713921561189182,38.43420204
Ethiopia 2022 (S-148),afore,Forestry,0.5605710947636627,0.30537133297803587,1.5686050052569362,4.373433739729015,317.2447806
