reporterCode,flowCode,partnerCode,cmdCode,refYear,primaryValue,fobvalue,cifvalue,netWgt,qty,qtyUnitCode,classificationCode,isReported,isAggregate
414,M,706,0805,2024,688651.0,,688651.0,501271.549,501271.549,8,H6,False,True
414,M,706,1207,2024,7775.0,,7775.0,3215.773,3215.773,8,H6,False,True
48,M,706,0805,2022,747705.636,,747705.636,213447.0,213447.0,8,H6,False,True
48,M,706,0805,2023,590260.565,,590260.565,444249.292,444249.292,8,H6,False,True
48,M,706,1207,2023,1020.181,,1020.181,422.168,422.168,8,H6,False,True
48,M,706,0805,2024,520229.919,,520229.919,231326.0,231326.0,8,H6,False,True
400,M,706,0303,2022,1020390.701,,1020390.701,348184.66,348184.66,8,H6,False,True
400,M,706,0805,2022,4915.789,,4915.789,2649.977,2649.977,8,H6,False,True
400,M,706,1207,2022,2084.507,,2084.507,567.338,567.338,8,H6,False,True
400,M,706,0302,2023,66846.986,,66846.986,7120.706,7120.706,8,H6,False,True
400,M,706,0303,2023,823193.082,,823193.082,227647.578,227647.578,8,H6,False,True
400,M,706,0307,2023,1312.113,,1312.113,120.97,120.97,8,H6,False,True
400,M,706,0805,2023,845.07,,845.07,324.538,324.538,8,H6,False,True
400,M,706,1207,2023,183351.422,,183351.422,75873.983,75873.983,8,H6,False,True
400,M,706,0302,2024,109586.802,,109586.802,15658.0,15658.0,8,H6,False,True
400,M,706,0303,2024,576955.322,,576955.322,263214.0,263214.0,8,H6,False,True
400,M,706,0805,2024,2738.141,,2738.141,1000.0,1000.0,8,H6,False,True
400,M,706,1207,2024,324255.154,,324255.154,185550.0,185550.0,8,H6,False,True
262,M,706,0306,2022,5745.302,,5745.302,946.0,946.0,8,H3,False,True
262,M,706,0302,2023,2475.88,,2475.88,120.0,120.0,8,H3,False,True
262,M,706,0306,2023,10539.371,,10539.371,1873.0,1873.0,8,H3,False,True
262,M,706,0307,2023,1125.4,,1125.4,90.0,90.0,8,H3,False,True
262,M,706,0804,2023,1643.084,,1643.084,2100.0,2100.0,8,H3,False,True
262,M,706,1207,2023,743.214,,743.214,200.0,200.0,8,H3,False,True
231,M,706,0304,2022,995.418,,995.418,50.0,50.0,8,H6,False,True
231,M,706,0306,2022,250.603,,250.603,50.0,50.0,8,H6,False,True
699,M,706,1207,2022,282013.242,,282013.242,198000.0,198000.0,8,H6,False,True
699,M,706,4102,2022,40804.616,,40804.616,13700.0,13700.0,8,H6,False,True
699,M,706,1207,2023,10234856.887,,10234856.887,5642200.0,5642200.0,8,H6,False,True
699,M,706,4102,2023,21300.261,,21300.261,14590.0,14590.0,8,H6,False,True
699,M,706,4103,2023,5039.285,,5039.285,10700.0,10700.0,8,H6,False,True
699,M,706,1207,2024,12391559.991,,12391559.991,9151168.0,9151168.0,8,H6,False,True
586,M,706,4102,2022,83900.288,,83900.288,10564.0,10564.0,8,H6,False,True
586,M,706,4103,2022,1244492.405,,1244492.405,208106.0,208106.0,8,H6,False,True
586,M,706,4102,2023,24463.522,,24463.522,17107.0,17107.0,8,H6,False,True
586,M,706,4103,2023,1242069.209,,1242069.209,888611.0,888611.0,8,H6,False,True
586,M,706,4102,2024,115533.019,,115533.019,175560.0,175560.0,8,H6,False,True
586,M,706,4103,2024,1128880.055,,1128880.055,1245481.0,1245481.0,8,H6,False,True
792,M,706,1207,2022,1583361.0,1495829.0,1583361.0,1044850.0,1044850.0,8,H6,False,True
792,M,706,1515,2022,64874.0,57410.0,64874.0,42135.0,42135.0,8,H6,False,True
792,M,706,1207,2023,278099.0,253053.0,278099.0,144000.0,144000.0,8,H6,False,True
792,M,706,1515,2023,18128.0,16161.0,18128.0,2200.0,2200.0,8,H6,False,True
792,M,706,1207,2024,4587490.0,4107856.0,4587490.0,2712301.0,2712301.0,8,H6,False,True
792,M,706,1515,2024,75148.0,66156.0,75148.0,60800.0,60800.0,8,H6,False,True
724,M,706,0805,2022,73.303,,73.303,28.04,28.04,8,H6,False,True
724,M,706,1207,2022,222746.017,,222746.017,99375.0,99375.0,8,H6,False,True
724,M,706,0805,2023,249.946,,249.946,21.65,21.65,8,H6,False,True
724,M,706,1207,2024,49124.956,,49124.956,19950.0,19950.0,8,H6,False,True
410,M,706,0303,2022,104325.0,,104325.0,63948.0,63948.0,8,H6,False,True
410,M,706,0307,2022,1117098.0,,1117098.0,317250.0,317250.0,8,H6,False,True
410,M,706,0303,2023,505552.0,,505552.0,292545.0,292545.0,8,H6,False,True
410,M,706,0307,2023,701501.0,,701501.0,192173.0,192173.0,8,H6,False,True
392,M,706,0304,2022,10882.283,0.0,10882.283,1680.0,1680.0,8,H6,False,True
392,M,706,0307,2022,2951288.776,0.0,2951288.776,272506.0,272506.0,8,H6,False,True
392,M,706,1207,2022,298247.553,0.0,298247.553,285000.0,285000.0,8,H6,False,True
392,M,706,0303,2023,135382.353,,135382.353,24331.0,24331.0,8,H6,False,True
392,M,706,0304,2023,294533.926,,294533.926,33779.0,33779.0,8,H6,False,True
392,M,706,0307,2023,5335103.13,,5335103.13,440693.0,440693.0,8,H6,False,True
392,M,706,0303,2024,203730.939,,203730.939,34900.0,34900.0,8,H6,False,True
392,M,706,0304,2024,621208.255,,621208.255,77584.0,77584.0,8,H6,False,True
392,M,706,0307,2024,464997.799,,464997.799,34339.0,34339.0,8,H6,False,True
392,M,706,1207,2024,3443705.584,,3443705.584,2062000.0,2062000.0,8,H6,False,True
458,M,706,0305,2024,2263.774,,2263.774,2622.3,2622.3,8,H6,False,True
458,M,706,0306,2024,166846.064,,166846.064,19210.0,19210.0,8,H6,False,True
360,M,706,4102,2022,37408.0,,37408.0,7373.0,7373.0,8,H6,False,True
360,M,706,4102,2023,68065.0,,68065.0,15260.0,15260.0,8,H6,False,True
702,M,706,0306,2023,26756.824,,26756.824,1790.0,1790.0,8,H6,False,True
702,M,706,0307,2023,79.671,,79.671,21.875,21.875,8,H6,False,True
344,M,706,0305,2022,565259.762,,565259.762,7544.0,7544.0,8,H6,False,True
344,M,706,0306,2022,272612.218,,272612.218,6487.0,6487.0,8,H6,False,True
344,M,706,4103,2022,34620.554,,34620.554,43450.0,43450.0,8,H6,False,True
344,M,706,0303,2023,13410.675,,13410.675,300.0,300.0,8,H6,False,True
