reporterCode,flowCode,partnerCode,cmdCode,refYear,primaryValue,fobvalue,cifvalue,netWgt,qty,qtyUnitCode,classificationCode,isReported,isAggregate
512,M,48,0201,2023,24566.97,,24566.97,5790.0,5790.0,8,H6,False,True
512,M,380,0201,2023,5126.138,,5126.138,357.0,357.0,8,H6,False,True
512,M,842,0201,2023,83131.339,,83131.339,2729.0,2729.0,8,H6,False,True
512,M,792,0201,2023,111651.495,,111651.495,5040.0,5040.0,8,H6,False,True
512,M,634,0201,2023,939352.404,,939352.404,47608.0,47608.0,8,H6,False,True
512,M,0,0201,2023,27878850.412,,27878850.412,5568245.0,5568245.0,8,H6,False,True
512,M,699,0201,2023,2588434.326,,2588434.326,663526.0,663526.0,8,H6,False,True
512,M,784,0201,2023,7058871.25,,7058871.25,821415.0,821415.0,8,H6,False,True
634,M,834,0201,2023,276888.715,,276888.715,44838.683,44838.683,8,H6,False,True
634,M,842,0201,2023,15310428.844,,15310428.844,1656810.372,1656810.372,8,H6,False,True
634,M,818,0201,2023,729739.83,,729739.83,130878.509,130878.509,8,H6,False,True
634,M,710,0201,2023,12236765.098,,12236765.098,1314507.069,1314507.069,8,H6,False,True
634,M,699,0201,2023,5014881.23,,5014881.23,506156.265,506156.265,8,H6,False,True
634,M,170,0201,2023,579758.567,,579758.567,58515.529,58515.529,8,H6,False,True
634,M,554,0201,2023,4185754.876,,4185754.876,423282.889,423282.889,8,H6,False,True
634,M,586,0201,2023,30571869.81,,30571869.81,5397661.394,5397661.394,8,H6,False,True
634,M,600,0201,2023,1047179.319,,1047179.319,105692.707,105692.707,8,H6,False,True
634,M,76,0201,2023,9831143.41,,9831143.41,992265.738,992265.738,8,H6,False,True
634,M,32,0201,2023,799534.185,,799534.185,86263.007,86263.007,8,H6,False,True
634,M,36,0201,2023,19217074.807,,19217074.807,1983071.332,1983071.332,8,H6,False,True
634,M,528,0201,2023,981596.265,,981596.265,125376.779,125376.779,8,H6,False,True
634,M,490,0201,2023,15010.423,,15010.423,1515.015,1515.015,8,H6,False,True
634,M,372,0201,2023,899743.946,,899743.946,97520.63,97520.63,8,H6,False,True
634,M,380,0201,2023,309992.019,,309992.019,31287.76,31287.76,8,H6,False,True
634,M,0,0201,2023,103618414.222,,103618414.222,13120578.318,13120578.318,8,H6,False,True
634,M,124,0201,2023,1611052.878,,1611052.878,164934.641,164934.641,8,H6,False,True
414,M,834,0201,2023,264510.725,,264510.725,36105.53,36105.53,8,H6,False,True
414,M,554,0201,2023,5035082.91,,5035082.91,537749.92,537749.92,8,H6,False,True
414,M,398,0201,2023,13774.091,,13774.091,1548.0,1548.0,8,H6,False,True
414,M,268,0201,2023,61753.895,,61753.895,5978.0,5978.0,8,H6,False,True
414,M,729,0201,2023,1134003.867,,1134003.867,156314.0,156314.0,8,H6,False,True
414,M,404,0201,2023,588841.567,,588841.567,84142.93,84142.93,8,H6,False,True
414,M,643,0201,2023,39873.567,,39873.567,2419.245,2419.245,8,H6,False,True
414,M,710,0201,2023,28263545.518,,28263545.518,3839376.0,3839376.0,8,H6,False,True
414,M,76,0201,2023,452881.427,,452881.427,81715.2,81715.2,8,H6,False,True
414,M,400,0201,2023,1771.001,,1771.001,250.0,250.0,8,H6,False,True
414,M,422,0201,2023,84900.618,,84900.618,11685.0,11685.0,8,H6,False,True
414,M,586,0201,2023,70037253.826,,70037253.826,9576585.0,9576585.0,8,H6,False,True
414,M,124,0201,2023,9174.046,,9174.046,1050.0,1050.0,8,H6,False,True
414,M,36,0201,2023,10555944.242,,10555944.242,1035541.36,1035541.36,8,H6,False,True
414,M,818,0201,2023,642554.335,,642554.335,187112.0,187112.0,8,H6,False,True
414,M,528,0201,2023,251485.403,,251485.403,22731.89,22731.89,8,H6,False,True
414,M,682,0201,2023,101181.456,,101181.456,15600.0,15600.0,8,H6,False,True
414,M,784,0201,2023,104703.925,,104703.925,9363.7,9363.7,8,H6,False,True
414,M,826,0201,2023,134784.899,,134784.899,15886.6,15886.6,8,H6,False,True
414,M,842,0201,2023,228465.645,,228465.645,15438.56,15438.56,8,H6,False,True
414,M,699,0201,2023,4613607.452,,4613607.452,970404.0,970404.0,8,H6,False,True
414,M,0,0201,2023,122620094.414,,122620094.414,16606996.935,16606996.935,8,H6,False,True
48,M,858,0201,2023,514.838,,514.838,51.963,51.963,8,H6,False,True
48,M,834,0201,2023,6942.205,,6942.205,1245.081,1245.081,8,H6,False,True
48,M,804,0201,2023,5232.622,,5232.622,797.175,797.175,8,H6,False,True
48,M,643,0201,2023,63362.784,,63362.784,6744.111,6744.111,8,H6,False,True
48,M,600,0201,2023,19873.492,,19873.492,2005.849,2005.849,8,H6,False,True
48,M,554,0201,2023,5094384.298,,5094384.298,536646.986,536646.986,8,H6,False,True
48,M,404,0201,2023,1311.867,,1311.867,235.283,235.283,8,H6,False,True
48,M,32,0201,2023,91735.183,,91735.183,9258.911,9258.911,8,H6,False,True
48,M,372,0201,2023,61544.471,,61544.471,6211.736,6211.736,8,H6,False,True
48,M,76,0201,2023,1258722.504,,1258722.504,127043.942,127043.942,8,H6,False,True
48,M,710,0201,2023,2454237.971,,2454237.971,262300.393,262300.393,8,H6,False,True
48,M,36,0201,2023,3355072.362,,3355072.362,355057.36,355057.36,8,H6,False,True
48,M,586,0201,2023,20008321.721,,20008321.721,3583643.367,3583643.367,8,H6,False,True
48,M,818,0201,2023,41724.194,,41724.194,7483.215,7483.215,8,H6,False,True
48,M,528,0201,2023,118004.364,,118004.364,14548.028,14548.028,8,H6,False,True
48,M,251,0201,2023,8207.33,,8207.33,1219.738,1219.738,8,H6,False,True
48,M,842,0201,2023,4350438.886,,4350438.886,462751.239,462751.239,8,H6,False,True
48,M,699,0201,2023,5978860.043,,5978860.043,603924.178,603924.178,8,H6,False,True
48,M,0,0201,2023,42918491.135,,42918491.135,5981168.557,5981168.557,8,H6,False,True
784,M,706,1301,2023,1871463.863,,1871463.863,1291910.0,1291910.0,8,H6,False,True
784,M,706,3301,2023,1764.83,,1764.83,5.27,5.27,8,H6,False,True
682,M,706,1301,2023,509602.121,,509602.121,45963.464,45963.464,8,H6,False,True
156,M,706,1301,2023,1440380.0,,1440380.0,471289.0,471289.0,8,H6,False,True
156,M,706,3301,2023,15960.0,,15960.0,41.654,41.654,8,H6,False,True
